Q1	Q0 	193378	0	20.026333	 Lucene
Q5	Q0 	212490	0	14.067953	 Lucene
Q5	Q0 	206761	0	13.765228	 Lucene
Q5	Q0 	213095	0	13.726191	 Lucene
Q5	Q0 	212980	0	13.581797	 Lucene
Q5	Q0 	199587	0	13.335426	 Lucene
Q5	Q0 	194191	0	13.232551	 Lucene
Q5	Q0 	205577	0	13.217563	 Lucene
Q5	Q0 	211352	0	13.135591	 Lucene
Q5	Q0 	206508	0	12.967588	 Lucene
Q5	Q0 	213134	0	11.612282	 Lucene
Q5	Q0 	206371	0	11.607487	 Lucene
Q5	Q0 	205939	0	11.263102	 Lucene
Q5	Q0 	208026	0	11.188112	 Lucene
Q5	Q0 	199173	0	11.149192	 Lucene
Q5	Q0 	200391	0	11.061516	 Lucene
Q5	Q0 	213097	0	11.061516	 Lucene
Q5	Q0 	207199	0	11.025787	 Lucene
Q5	Q0 	205541	0	10.994551	 Lucene
Q6	Q0 	206159	0	10.623457	 Lucene
Q6	Q0 	210133	0	9.944331	 Lucene
Q6	Q0 	211649	0	9.729154	 Lucene
Q6	Q0 	193389	0	9.601877	 Lucene
Q6	Q0 	196250	0	9.40735	 Lucene
Q6	Q0 	210341	0	9.346922	 Lucene
Q6	Q0 	197548	0	9.205145	 Lucene
Q6	Q0 	203990	0	9.186962	 Lucene
Q6	Q0 	199139	0	9.124236	 Lucene
Q6	Q0 	193987	0	9.06782	 Lucene
Q6	Q0 	200486	0	8.968682	 Lucene
Q6	Q0 	207696	0	8.932612	 Lucene
Q6	Q0 	198540	0	8.902883	 Lucene
Q6	Q0 	194202	0	8.856814	 Lucene
Q6	Q0 	204356	0	8.816724	 Lucene
Q6	Q0 	211706	0	8.704639	 Lucene
Q6	Q0 	193480	0	8.6807575	 Lucene
Q6	Q0 	199519	0	8.615039	 Lucene
Q6	Q0 	205778	0	8.578308	 Lucene
Q6	Q0 	215849	0	8.56951	 Lucene
Q7	Q0 	213097	0	22.513796	 Lucene
Q7	Q0 	199859	0	19.194017	 Lucene
Q7	Q0 	206371	0	15.340909	 Lucene
Q7	Q0 	211490	0	14.8772	 Lucene
Q7	Q0 	205576	0	14.807447	 Lucene
Q7	Q0 	194006	0	14.566432	 Lucene
Q7	Q0 	200833	0	13.769391	 Lucene
Q7	Q0 	194117	0	13.608966	 Lucene
Q7	Q0 	212484	0	13.522053	 Lucene
Q7	Q0 	209421	0	13.105879	 Lucene
Q7	Q0 	212432	0	13.039953	 Lucene
Q7	Q0 	212980	0	10.766548	 Lucene
Q7	Q0 	199149	0	10.669188	 Lucene
Q7	Q0 	194297	0	10.64059	 Lucene
Q7	Q0 	207030	0	10.452864	 Lucene
Q7	Q0 	198465	0	10.386655	 Lucene
Q7	Q0 	194230	0	10.192799	 Lucene
Q7	Q0 	211578	0	10.054959	 Lucene
Q7	Q0 	213125	0	10.029554	 Lucene
Q7	Q0 	205699	0	9.949329	 Lucene
Q8	Q0 	193715	0	20.179869	 Lucene
Q8	Q0 	193375	0	16.156954	 Lucene
Q8	Q0 	193373	0	14.939046	 Lucene
Q8	Q0 	193378	0	14.773634	 Lucene
Q8	Q0 	206230	0	14.11454	 Lucene
Q8	Q0 	193356	0	13.882834	 Lucene
Q8	Q0 	205685	0	13.286785	 Lucene
Q8	Q0 	194890	0	13.082857	 Lucene
Q8	Q0 	205078	0	12.894196	 Lucene
Q8	Q0 	204414	0	12.78167	 Lucene
Q8	Q0 	206255	0	12.39322	 Lucene
Q8	Q0 	193396	0	12.141119	 Lucene
Q8	Q0 	193722	0	12.133887	 Lucene
Q8	Q0 	211972	0	11.957201	 Lucene
Q8	Q0 	210133	0	11.661275	 Lucene
Q8	Q0 	211970	0	11.415533	 Lucene
Q8	Q0 	204356	0	10.8613405	 Lucene
Q8	Q0 	213278	0	10.386163	 Lucene
Q8	Q0 	206824	0	10.367721	 Lucene
Q8	Q0 	193380	0	10.360452	 Lucene
Q9	Q0 	197346	0	20.988947	 Lucene
Q9	Q0 	211061	0	17.214874	 Lucene
Q9	Q0 	214855	0	14.517014	 Lucene
Q9	Q0 	211081	0	14.403509	 Lucene
Q9	Q0 	211074	0	13.835167	 Lucene
Q9	Q0 	200252	0	13.18927	 Lucene
Q9	Q0 	206357	0	12.777375	 Lucene
Q9	Q0 	206172	0	12.570485	 Lucene
Q9	Q0 	211057	0	12.147673	 Lucene
Q9	Q0 	211067	0	12.0677	 Lucene
Q9	Q0 	200391	0	11.867992	 Lucene
Q9	Q0 	211421	0	11.664453	 Lucene
Q9	Q0 	211083	0	11.594095	 Lucene
Q9	Q0 	197338	0	11.558184	 Lucene
Q9	Q0 	199093	0	11.453857	 Lucene
Q9	Q0 	199859	0	11.304975	 Lucene
Q9	Q0 	211963	0	11.15897	 Lucene
Q9	Q0 	193825	0	11.12126	 Lucene
Q9	Q0 	193459	0	11.112679	 Lucene
Q9	Q0 	213548	0	11.081897	 Lucene
Q10	Q0 	204488	0	6.4452877	 Lucene
Q10	Q0 	199879	0	6.252946	 Lucene
Q10	Q0 	215129	0	6.222395	 Lucene
Q10	Q0 	200162	0	6.1898756	 Lucene
Q10	Q0 	213180	0	6.1656637	 Lucene
Q10	Q0 	211441	0	6.15464	 Lucene
Q10	Q0 	200158	0	6.078017	 Lucene
Q10	Q0 	194215	0	6.0731134	 Lucene
Q10	Q0 	194229	0	6.0731134	 Lucene
Q10	Q0 	194274	0	6.044274	 Lucene
Q10	Q0 	205539	0	6.040946	 Lucene
Q10	Q0 	194310	0	6.0246587	 Lucene
Q10	Q0 	194949	0	6.0141034	 Lucene
Q10	Q0 	195865	0	6.0138416	 Lucene
Q10	Q0 	215701	0	5.997887	 Lucene
Q10	Q0 	211071	0	5.9848804	 Lucene
Q10	Q0 	196392	0	5.958786	 Lucene
Q10	Q0 	198647	0	5.958786	 Lucene
Q10	Q0 	210629	0	5.9468403	 Lucene
Q10	Q0 	210977	0	5.9311337	 Lucene
